Date,Open,High,Low,Close,Adj Close,Volume,MAR
2014-05-19,58.169998,58.689999,58.000000,58.610001,55.882011,1247400,MAR
2014-05-20,58.389999,58.959999,58.340000,58.889999,56.148975,2163800,MAR
2014-05-21,58.380001,58.919998,58.340000,58.759998,56.215946,2394500,MAR
2014-05-22,58.680000,59.240002,58.619999,58.759998,56.215946,2293000,MAR
2014-05-23,58.980000,59.330002,58.820000,59.259998,56.694294,1619200,MAR
2014-05-27,59.570000,59.750000,59.349998,59.450001,56.876076,1897800,MAR
2014-05-28,59.439999,59.570000,59.200001,59.439999,56.866505,1708700,MAR
2014-05-29,59.630001,60.720001,59.400002,60.680000,58.052822,2784300,MAR
2014-05-30,60.880001,61.730000,60.750000,61.619999,58.952122,3821600,MAR
2014-06-02,61.709999,61.860001,61.049999,61.540001,58.875584,3493200,MAR
2014-06-03,61.500000,61.529999,61.150002,61.490002,58.827751,2427200,MAR
2014-06-04,61.349998,61.759998,61.220001,61.720001,59.047802,1874900,MAR
2014-06-05,61.950001,62.360001,61.570000,62.310001,59.612251,1644600,MAR
2014-06-06,62.320000,62.860001,62.279999,62.849998,60.128868,1525700,MAR
2014-06-09,62.570000,63.139999,62.500000,62.820000,60.100166,1568600,MAR
2014-06-10,62.740002,62.840000,62.430000,62.700001,59.985359,1972300,MAR
2014-06-11,61.720001,61.980000,61.450001,61.770000,59.095627,2622200,MAR
2014-06-12,61.830002,61.930000,61.220001,61.450001,58.789486,1702900,MAR
2014-06-13,61.500000,61.639999,61.000000,61.380001,58.722511,1340800,MAR
2014-06-16,61.320000,61.799999,61.320000,61.619999,58.952122,1239000,MAR
2014-06-17,61.509998,62.570000,61.360001,62.450001,59.746185,1369500,MAR
2014-06-18,62.529999,63.270000,62.500000,63.119999,60.387177,1791200,MAR
2014-06-19,62.310001,63.369999,62.310001,63.369999,60.626358,1411500,MAR
2014-06-20,63.509998,64.099998,63.270000,63.560001,60.808128,4750000,MAR
2014-06-23,63.369999,63.849998,63.330002,63.790001,61.028175,1390200,MAR
2014-06-24,63.549999,64.089996,63.119999,63.580002,60.827263,2818900,MAR
2014-06-25,63.549999,63.630001,63.220001,63.430000,60.683758,2966400,MAR
2014-06-26,63.689999,64.089996,63.290001,63.990002,61.219513,2031700,MAR
2014-06-27,63.889999,64.250000,63.720001,63.980000,61.209946,2345500,MAR
2014-06-30,64.019997,64.309998,63.790001,64.099998,61.324749,1133700,MAR
2014-07-01,64.320000,64.760002,64.180000,64.669998,61.870071,1588400,MAR
2014-07-02,64.800003,65.389999,64.459999,65.360001,62.530205,1815600,MAR
2014-07-03,65.260002,65.730003,65.230003,65.559998,62.721531,963400,MAR
2014-07-07,65.500000,65.879997,65.360001,65.870003,63.018116,1488200,MAR
2014-07-08,65.529999,65.699997,64.730003,64.919998,62.109241,2018600,MAR
2014-07-09,65.260002,65.500000,64.940002,65.419998,62.587601,2219300,MAR
2014-07-10,64.550003,65.809998,64.550003,65.570000,62.731102,2627600,MAR
2014-07-11,65.320000,65.669998,64.980003,65.019997,62.204906,2136300,MAR
2014-07-14,65.410004,65.860001,65.129997,65.320000,62.491924,1998800,MAR
2014-07-15,65.360001,65.580002,64.660004,64.980003,62.166656,2346600,MAR
2014-07-16,65.139999,65.279999,64.620003,64.720001,61.917912,1857300,MAR
2014-07-17,64.489998,64.849998,63.369999,63.380001,60.635925,3033300,MAR
2014-07-18,63.779999,64.989998,63.599998,64.900002,62.090118,1992400,MAR
2014-07-21,64.830002,65.139999,64.540001,64.970001,62.157089,1565200,MAR
2014-07-22,65.370003,66.320000,65.349998,66.110001,63.247719,2189700,MAR
2014-07-23,65.900002,66.510002,65.779999,66.470001,63.592136,1705100,MAR
2014-07-24,66.400002,67.080002,66.129997,66.830002,63.936546,3008300,MAR
2014-07-25,66.720001,67.120003,66.269997,66.370003,63.496468,1424200,MAR
2014-07-28,66.480003,67.070000,66.019997,66.169998,63.305126,2942500,MAR
2014-07-29,66.080002,66.889999,65.650002,65.690002,62.845905,3228200,MAR
2014-07-30,66.220001,66.470001,64.360001,65.410004,62.578037,3930700,MAR
2014-07-31,65.320000,65.339996,64.459999,64.709999,61.908333,3291400,MAR
2014-08-01,64.790001,65.269997,64.320000,64.879997,62.070980,2908500,MAR
2014-08-04,65.040001,66.250000,64.900002,65.989998,63.132919,2675600,MAR
2014-08-05,65.750000,65.900002,64.769997,64.910004,62.099697,2939000,MAR
2014-08-06,64.339996,65.029999,64.180000,64.510002,61.716999,2358500,MAR
2014-08-07,64.860001,65.489998,64.120003,64.239998,61.458694,2545700,MAR
2014-08-08,64.739998,64.970001,64.300003,64.940002,62.128380,1774800,MAR
2014-08-11,65.660004,65.919998,65.000000,65.720001,62.874603,1536000,MAR
2014-08-12,65.690002,66.010002,65.370003,65.570000,62.731102,1586000,MAR
2014-08-13,65.820000,66.660004,65.199997,66.550003,63.668694,1623100,MAR
2014-08-14,66.750000,67.349998,66.550003,67.260002,64.347939,1685600,MAR
2014-08-15,67.660004,67.690002,67.029999,67.370003,64.453171,2529100,MAR
2014-08-18,67.870003,67.949997,67.339996,67.660004,64.730629,1750700,MAR
2014-08-19,67.629997,68.269997,67.570000,68.129997,65.373520,1956700,MAR
2014-08-20,68.000000,68.639999,67.870003,68.540001,65.766922,1377100,MAR
2014-08-21,68.570000,68.739998,68.330002,68.440002,65.670967,1204600,MAR
2014-08-22,68.279999,68.559998,68.160004,68.449997,65.680565,1084200,MAR
2014-08-25,68.639999,68.940002,68.570000,68.760002,65.978027,1415400,MAR
2014-08-26,68.980003,69.070000,68.449997,68.989998,66.198715,1147400,MAR
2014-08-27,69.040001,69.209999,68.779999,68.879997,66.093163,1421400,MAR
2014-08-28,68.779999,69.120003,68.169998,68.989998,66.198715,1382300,MAR
